Study_ID,First_author,Year_published,ES_ID,Common_species,Strain,Strain_notes,Sex,Housing,Notes_housing,Age_EE_exposure,Notes_age_EE_exposure,Age_stress_exposure,Notes_age_stress_exposure,Age_assay,Notes_age_assay,Type_EE_exposure,Type_EE_details,EE_exercise ,EE_social,Type_stress_exposure,Type_stress_details,Stress_duration,Notes_stress_duration,Exposure_order,Learning_vs_memory,Type_assay,Type_reinforcement,Response_assay_name,Response_details,Response_unit,Response_percent,Response_notes,Response_direction ,Data_location,CC_n,CC_mean,CC_median,CC_SD,CC_SE,CC_25thpercentile,CC_75thpercentile,EC_n,EC_mean,EC_median,EC_SD,EC_SE,EC_25thpercentile,EC_75thpercentile,CS_n,CS_mean,CS_median,CS_SD,CS_SE,CS_25thpercentile,CS_7thpercentile,ES_n,ES_mean,ES_median,ES_SD,ES_SE,ES_25thpercentile,ES_75thoercentile,Original_names,ROB_blinding,Blinding_notes,ROB_randomisation,Randomisation_notes,Analysis_unit,Unit_notes,Contact_author,Date_contacted,Author_response,General_comments,Stats_comments
22,Molina,2019,69,Rat,Wistar,,2,3,,3,PND 21,2,PND 15,2,PND 28,5,"objects, wheel, complexity",1,1,8,,1,noise for one day,1,2,2,2,Inhibitory avoidance,Ratio of memory assay vs learning assay,percent,yes,,1,Fig. 7b,7,40.48,,3.76,1.42,,,7,56.19,,6.3,2.38,,,7,37.14,,15.13,5.72,,,7,67.62,,25.19,9.52,,,"CC = Sham/st, EC = Sham/EE, CS = Noise/st, ES = Noise/EE",3,,3,only mentioned that stress treatment was random,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
22,Molina,2019,70,Rat,Wistar,,2,3,,3,PND 21,2,PND15,2,PND 28,5,"objects, wheel, complexity",1,1,8,,1,noise for 5 days,1,2,2,2,Inhibitory avoidance,Ratio of memory assay vs learning assay,percent,yes,,1,Fig. 7b,7,45.71,,27.73,10.48,,,7,53.81,,13.86,5.24,,,7,50,,18.89,7.14,,,7,63.33,,12.62,4.77,,,"CC = Sham/st, EC = Sham/EE, CS = Noise/st, ES = Noise/EE",3,,3,only mentioned that stress treatment was random,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
10,Molina,2016,29,Rat,Wistar,,2,3,,2,,2,,2,PND28,5,"Objects, wheel, food, size",1,2,8,,1,,3,2,2,1,Inhibitory avoidance,Ratio of memory assay vs learning assay,ratio,yes,PND7,1,Fig. 6,6,33.25,,15.92,6.5,,,6,35.5,,10.41,4.25,,,6,38.5,,17.76,7.25,,,6,87.75,,230.86,94.25,,,"CC = ct7d, EC = ctEE7d, CS = Noise7d, ES = NoiseEE7d",3,,1,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
10,Molina,2016,30,Rat,Wistar,,2,3,,2,,2,,2,PND28,5,"Objects, wheel, food, size",1,2,8,,1,,3,2,2,1,Inhibitory avoidance,Ratio of memory assay vs learning assay,ratio,yes,PND15,1,Fig. 6,6,35.25,,7.96,3.25,,,6,45.5,,28.78,11.75,,,6,55.75,,17.76,7.25,,,6,31,,13.47,5.5,,,"CC = ct15d, EC = ctEE15d, CS = Noise15d, ES = NoiseEE15d",3,,1,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
30,Monteiro,2014,94,Mouse,Swiss,,2,5,,3,,3,,2,,2,,2,1,1,Housed in isolation,2,,3,2,3,3,Social recognition,Social investigation,sec,no, Took difference between TR and TT. SD calculated as SD^2[1] + SD^2[2] - 2*0.5SD[1]SD[2] where 0.5 = correlation,1,Fig. 1d,4,22.2,,19.05247,"10.34, 8. 42",,,4,47.09,,30.8322,"17.6, 11.11",,,4,1.91,,23.12236,"10.72, 12.25",,,4,17.23,,18.09993,"8.42, 9.57",,,"CC = GH, EC = GH + EE, CS = SI, ES = SI + EE",3,,3,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,N calculated from df ((1 + 15) + 1)/4,
11,Nawaz,2018,31,Rat,Wistar,,2,3,,4,,4,,3,,5,"Shelter, toys, pipes, wheel",1,2,5,,2,,1,2,2,2,Morris water maze,Short term memory escape latency,sec,no,Only used 'after restraint stress' ,2,Fig. 1,6,28.95,,3.95,,,,6,21.81,,3.2,,,,6,49.03,,5.06,,,,6,36.96,,2.96,,,,"CC = control, EC = EE, CS = stress, ES = EE + stress",3,,3,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
11,Nawaz,2018,32,Rat,Wistar,,2,3,,4,,4,,3,,5,"Shelter, toys, pipes, wheel",1,2,5,,2,,1,2,2,2,Morris water maze,Long term memort escape latency,sec,no,Only used 'after restraint stress' ,2,Fig. 2,6,62.98,,4.81,,,,6,43.97,,7.1,,,,6,91.83,,5.04,,,,6,66.64,,5.04,,,,"CC = control, EC = EE, CS = stress, ES = EE + stress",3,,3,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
12,Novaes,2021,33,Rat,Wistar,,2,2,,4,,4,,3,,2,toys and tunnels etc,2,2,5,,1,,2,1,2,2,Contextual fear conditioning,cued fear conditioning from foot shock,percent,yes,Taken from the 'test' day on day 6,1,Fig. 2a,14,12.47,,7.45,1.99,,,14,19.63,,14.89,3.98,,,14,31.83,,8.94,2.39,,,14,19.63,,14.89,3.98,,,"CC = CS, EC = EE, CS = CS-str, ES EE-str",1,,3,Only states EE was random,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
12,Novaes,2021,34,Rat,Wistar,,2,2,,4,,4,,3,,2,toys and tunnels etc,2,2,5,,1,,2,2,2,2,Contextual fear conditioning,extinction of aversive conditioning ,percent,yes,,1,Fig. 2b,8,12.65,,5.12,1.81,,,8,17.35,,10.21,3.61,,,8,31.81,,6.14,2.17,,,8,19.52,,9.19,3.25,,,"CC = CS, EC = EE, CS = CS-str, ES EE-str",1,,3,Only states EE was random,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
23,Rule,2020,71,Rat,Lister hooded rat,,2,3,,3,PND 35,3,PND 25 -27,3,On the border (PND 57 - 66),5,"Bedding, objects",2,1,10,"swim, restraint, elevated platform",1,,1,2,2,2,Contextual fear conditioning,percent freezing,percent,yes,context recall,1,Fig. 2a,12,29.64,,19.36,5.59,,,12,30.88,,17.84,5.15,,,12,35.03,,16.49,4.76,,,12,31.71,,16.52,4.77,,,"CC = Con CH, EC = Con EE, CS = PPS SH, ES = PPS EE",1,,3,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
23,Rule,2020,72,Rat,Lister hooded rat,,2,3,,3,PND 35,3,PND 25 -27,3,On the border (PND 57 - 66),5,"Bedding, objects",2,1,10,"swim, restraint, elevated platform",1,,1,2,2,2,Contextual fear conditioning,percent freezing,percent,yes,cue recall,1,Fig. 2b,12,34.67,,21.55,6.22,,,12,36.64,,20.37,5.88,,,12,53.97,,22.66,6.54,,,12,27.48,,15.87,4.58,,,"CC = Con CH, EC = Con EE, CS = PPS SH, ES = PPS EE",1,,3,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
24,Shilpa,2017,73,Rat,Wistar,,2,3,,4,2 to 2.5months,4,2 to 2.5months,3,,5,"Bedding, objects",2,1,5,,2,,3,1,2,1,Radial arm maze,Number of errors,count,no,Trial 8,2,Fig. 5b,15,1,,0.62,0.16,,,15,0.58,,0.5,0.13,,,15,2.45,,1.39,0.36,,,15,0.86,,0.58,0.15,,,"CC = control, EC = EE, CS = CIS, ES = CIS + EE",3,,1,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,Cant see error bars on number of correct choices (Fig. 5a) but this should be highly negatively correlated with number of errors,
24,Shilpa,2017,74,Rat,Wistar,,2,3,,4,2 to 2.5months,4,2 to 2.5months,3,,5,"Bedding, objects",2,1,5,,2,,3,2,2,1,Radial arm maze,Number of errors,count,no,Trial 8,2,Fig. 5c,15,0.99,,0.66,0.17,,,15,0.6,,0.5,0.13,,,15,2.46,,0.89,0.23,,,15,0.87,,0.54,0.14,,,"CC = control, EC = EE, CS = CIS, ES = CIS + EE",3,,1,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
13,Sun,2016,35,Rat,Sprague-Dawley,,2,3,,4,,4,,3,,5,"objects, toys, running wheel",1,2,3,,1,shock,3,2,2,2,Morris water maze,time in training quadrant,sec,no,,1,Fig. 3b,12,19.69,,1.8,0.52,,,12,21.77,,6.51,1.88,,,12,12.71,,1.8,0.52,,,12,20.31,,5.44,1.57,,,"CC = Con + SE, EC = Con + EE, CS = IFS +EE, ES = IFS + EE",1,,1,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
25,van der Veen,2015,75,Rat,Wistar,,2,3,,3,PND 21,2,,3,,5,"shelter, complexity, wheel, ladder",1,1,6,,2,,1,1,2,1,5-choice task,Accuracy,percent,yes,,1,Table 1,8,94.71,,4.02,1.42,,,16,92.67,,4.16,1.04,,,8,94.63,,3,1.06,,,16,92.87,,4.84,1.21,,,"CC = No-MD standard, EC = No-MD Complex, CS = MS standard, ES = MD Complex",3,,3,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
25,van der Veen,2015,77,Rat,Wistar,,2,3,,3,PND 21,2,,3,,5,"shelter, complexity, wheel, ladder",1,1,6,,2,,1,2,2,1,5-choice task,percent correct,percent,yes,second bar ,1,Fig. 3a,8,93.78,,5.03,1.78,,,16,87.26,,5.92,1.48,,,8,92.89,,5.03,1.78,,,16,89.93,,3.52,0.88,,,"CC = No-MD standard, EC = No-MD Complex, CS = MS standard, ES = MD Complex",3,,3,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
25,van der Veen,2015,78,Rat,Wistar,,2,3,,3,PND 21,2,,3,,5,"shelter, complexity, wheel, ladder",1,1,6,,2,,1,2,2,1,5-choice task,percent correct,percent,yes,second bar ,1,Fig. 3c,8,92.94,,5.83,2.06,,,16,89.71,,7.04,1.76,,,8,88.24,,7.47,2.64,,,16,90.59,,4.68,1.17,,,"CC = No-MD standard, EC = No-MD Complex, CS = MS standard, ES = MD Complex",3,,3,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
25,van der Veen,2015,79,Rat,Wistar,,2,3,,3,PND 21,2,,3,,5,"shelter, complexity, wheel, ladder",1,1,6,,2,,1,2,2,1,5-choice task,percent correct,percent,yes,second bar ,1,Fig. 4a,8,73.14,,12.93,4.57,,,16,81.71,,8,2,,,8,80.57,,15.36,5.43,,,16,82,,21.72,5.43,,,"CC = No-MD standard, EC = No-MD Complex, CS = MS standard, ES = MD Complex",3,,3,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
25,van der Veen,2015,80,Rat,Wistar,,2,3,,3,PND 21,2,,3,,5,"shelter, complexity, wheel, ladder",1,1,6,,2,,1,2,2,1,5-choice task,percent correct,percent,yes,second bar ,1,Fig. 4c,8,89.06,,5.71,2.02,,,16,92.81,,2.28,0.57,,,8,91.37,,7.33,2.59,,,16,92.23,,6.92,1.73,,,"CC = No-MD standard, EC = No-MD Complex, CS = MS standard, ES = MD Complex",3,,3,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
25,van der Veen,2015,76,Rat,Wistar,,2,3,,3,PND 21,2,,3,,5,"shelter, complexity, wheel, ladder",1,1,6,,2,,1,1,2,1,5-choice task,Latency to correct hole,sec,no,,2,Table 1,8,0.73,,0.11,0.04,,,16,0.61,,0.04,0.01,,,8,0.68,,0.08,0.03,,,16,0.66,,0.12,0.03,,,"CC = No-MD standard, EC = No-MD Complex, CS = MS standard, ES = MD Complex",3,,3,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
26,Veena,2009,82,Rat,Wistar,,2,3,,4,,4,,3,,2,toys/objects - replaced for novelty,2,1,5,restrained for 6hr/day for 21 days,2,,1,2,2,1,Radial arm maze,number of errors,count,no,Taken from block 8 - did not take 'stress (no gap)' as this additional treatment wasn't clearly described,2,"Fig. 4 b, block 8",12,0.44,,0.24,0.07,,,13,0.54,,0.36,0.1,,,9,1.94,,0.6,0.2,,,9,0.71,,0.66,0.22,,,"CC = normal control, EC = EE, CS = stress, ES = stress + EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
26,Veena,2009,84,Rat,Wistar,,2,3,,4,,4,,3,,2,toys/objects - replaced for novelty,2,1,5,restrained for 6hr/day for 21 days,2,,1,2,2,1,Radial arm maze,number of errors,count,no,,2,Fig. 5b,12,1.02,,0.66,0.19,,,13,0.81,,0.69,0.19,,,9,2.48,,0.72,0.24,,,9,1.01,,0.63,0.21,,,"CC = normal control, EC = EE, CS = stress, ES = stress + EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
26,Veena,2009,81,Rat,Wistar,,2,3,,4,,4,,3,,2,toys/objects - replaced for novelty,2,1,5,restrained for 6hr/day for 21 days,2,,1,1,2,1,Radial arm maze,percent of animals to correctly choose the arm with 'bait',percent,yes,Taken from block 8 - did not take 'stress (no gap)' as this additional treatment wasn't clearly described,1,"Fig. 3 b, block 8",12,90.03,,4.05,1.17,,,13,89.44,,5.3,1.47,,,9,68.04,,10.53,3.51,,,9,86.51,,9.69,3.23,,,"CC = normal control, EC = EE, CS = stress, ES = stress + EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
26,Veena,2009,83,Rat,Wistar,,2,3,,4,,4,,3,,2,toys/objects - replaced for novelty,2,1,5,restrained for 6hr/day for 21 days,2,,1,2,2,1,Radial arm maze,percent correct choice,percent,yes,,1,Fig. 5a,12,83.39,,7.66,2.21,,,13,89.4,,8.91,2.47,,,9,65.87,,11.67,3.89,,,9,84.45,,12.72,4.24,,,"CC = normal control, EC = EE, CS = stress, ES = stress + EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
27,Vivinetto,2013,85,Rat,Wistar,,2,3,,3,PND 21,2,,3,PND 67-73,5,"toys, wheel",1,1,6,,2,,1,2,3,3,Novel object recognition,percent exploration,percent,yes,Object B,1,Fig. 2b,11,74.14,,10.85,3.27,,,13,68.62,,16.8,4.66,,,7,77.93,,7.3,2.76,,,10,70.86,,15.27,4.83,,,"CC = AFR NE, EC = AFR EE, CS = MS NE, ES = MS EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
27,Vivinetto,2013,86,Rat,Wistar,,2,3,,3,PND 21,2,,3,PND 67-73,5,"toys, wheel",1,1,6,,2,,1,2,3,3,Novel object recognition,Latency to explore NO,sec,no,,2,Fig. 3b,11,266.92,,192.46,58.03,,,13,397.49,,191.78,53.19,,,7,159.57,,432.69,163.54,,,10,323.02,,189.61,59.96,,,"CC = AFR NE, EC = AFR EE, CS = MS NE, ES = MS EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
27,Vivinetto,2013,87,Rat,Wistar,,2,3,,3,PND 21,2,,3,PND 67-73,5,"toys, wheel",1,1,6,,2,,1,2,2,2,Inhibitory avoidance,Latency to step down,sec,no,,1,Fig. 4a,9,303.06,,66.69,22.23,,,9,286.59,,66.69,22.23,,,7,193.53,,67.55,25.53,,,10,285.76,,65.11,20.59,,,"CC = AFR NE, EC = AFR EE, CS = MS NE, ES = MS EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
27,Vivinetto,2013,88,Rat,Wistar,,2,3,,3,PND 21,2,,3,PND 67-73,5,"toys, wheel",1,1,6,,2,,1,2,2,2,Inhibitory avoidance,Freezing time,sec,no,,1,Fig. 4b,9,0.06,,0.09,0.03,,,9,0.03,,0.03,0.01,,,7,0.005,,0.01,0.004,,,10,0.11,,0.09,0.03,,,"CC = AFR NE, EC = AFR EE, CS = MS NE, ES = MS EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
14,Wang,2020,36,Mouse,C57BL/6N,"C57BL/6N, Rosa-GFP, Scnn la-Cre (doesn't state which strain was used for what)",2,3,,4,,2,,3,,6,tactile enrichment of  a beaded curtain,2,2,9,limited bedding and nesting material,2,,1,2,3,3,Object recognition,Discirimination index,percent,yes,,1,Fig. 8b (raw data),13,18.34,,9.69,,,,14,30.18,,18.64,,,,12,-7.36,,9.83,,,,12,26.05,,13.94,,,,"CC =CTRL, EC = TEE, CS = ELS, ES = ELS/TEE",3,Only says the neuron stuff was done blind,3,,,,"I  can't find if this study was fully crosed, or results on ctl, enrichment, stress (limited bedding) and stress + limited bedding ",10/06/2021,sent raw data,,
14,Wang,2020,37,Mouse,C57BL/6N,"C57BL/6N, Rosa-GFP, Scnn la-Cre (doesn't state which strain was used for what)",2,3,,4,,2,,3,,6,tactile enrichment of  a beaded curtain,2,2,9,limited bedding and nesting material,2,,1,2,3,3,Object location,Discirimination index,percent,yes,,1,Fig. 8c (raw data),13,18.66,,9.86,,,,14,27.09,,10.23,,,,12,-7.27,,12.18,,,,12,25.89,,11.29,,,,"CC =CTRL, EC = TEE, CS = ELS, ES = ELS/TEE",3,Only says the neuron stuff was done blind,3,,,,"I  can't find if this study was fully crosed, or results on ctl, enrichment, stress (limited bedding) and stress + limited bedding ",10/06/2021,sent raw data,,
14,Wang,2020,38,Mouse,C57BL/6N,"C57BL/6N, Rosa-GFP, Scnn la-Cre (doesn't state which strain was used for what)",2,3,,4,,2,,3,,6,tactile enrichment of  a beaded curtain,2,2,9,limited bedding and nesting material,2,,1,2,3,3,Temporal object recognition,Discirimination index,percent,yes,,1,Fig. 8d (raw data),13,17.28,,10.82,,,,14,11.49,,6.9,,,,12,-11.94,,19.44,,,,12,17.54,,14.72,,,,"CC =CTRL, EC = TEE, CS = ELS, ES = ELS/TEE",3,Only says the neuron stuff was done blind,3,,,,"I  can't find if this study was fully crosed, or results on ctl, enrichment, stress (limited bedding) and stress + limited bedding ",10/06/2021,sent raw data,,
14,Wang,2020,39,Mouse,C57BL/6N,"C57BL/6N, Rosa-GFP, Scnn la-Cre (doesn't state which strain was used for what)",2,3,,4,,2,,3,,6,tactile enrichment of  a beaded curtain,2,2,9,limited bedding and nesting material,2,,1,2,3,3,Object location,Discirimination index,percent,yes,,1,Fig. 8e (raw data),13,15.39,,12.96,,,,14,13.96,,10,,,,12,-9.32,,7.59,,,,12,15.16,,19.95,,,,"CC =CTRL, EC = TEE, CS = ELS, ES = ELS/TEE",3,Only says the neuron stuff was done blind,3,,,,"I  can't find if this study was fully crosed, or results on ctl, enrichment, stress (limited bedding) and stress + limited bedding ",10/06/2021,sent raw data,,
28,Zubedat,2015,89,Rat,Wistar,,2,3,,3,PND 30,1,,3,PND 95,5,"objects, wheel",1,1,10,"swim, mirror, restraint",1,,1,2,3,3,Novel object recognition,percent ,percent,yes,Vehicle only,1,Fig. 1b,12,62.66,,11.81,3.41,,,12,75.94,,6.86,1.98,,,12,52.6,,10.6,3.06,,,12,71.27,,13.06,3.77,,,"CC = control, EC = EE, CS = PS, ES = PS + EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,They had more responses but with no visible error bars,
28,Zubedat,2015,90,Rat,Wistar,,2,3,,3,PND 30,1,,3,PND 95,5,"objects, wheel",1,1,10,"swim, mirror, restraint",1,,1,1,1,3,Pre-pulse inhibition,percent,percent,yes,dB 59,1,Fig. 1c,12,35.91,,9.46,2.73,,,12,72.5,,7.86,2.27,,,12,19.55,,4.71,1.36,,,12,48.41,,4.71,1.36,,,"CC = control, EC = EE, CS = PS, ES = PS + EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
28,Zubedat,2015,91,Rat,Wistar,,2,3,,3,PND 30,1,,3,PND 95,5,"objects, wheel",1,1,10,"swim, mirror, restraint",1,,1,1,2,2,Rotor rod test,latency ,sec,no,,1,Fig. 3b,12,66.14,,6.37,1.84,,,12,67.37,,13.48,3.89,,,12,92.76,,8.52,2.46,,,12,98.7,,8.52,2.46,,,"CC = control, EC = EE, CS = PS, ES = PS + EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
